,Title,Class,,,Class,Genre,Count,Percentage
680,Candyman,7,,,,,,
681,Secrets,2,,,,,,
682,7 Years,3,,,,,,
683,Hall of Fame (feat. will.i.am),6,,,,,,
684,YOUTH,6,,,,,,
685,Airplanes (feat. Hayley Williams of Paramore),5,,,,,,
686,Closer - T-Mass Remix,6,,,,,,
687,Cold Water,5,,,,,,
688,Stitches,6,,,,,,
689,How Deep is Your Love (feat. Disciples),7,,,,,,
690,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),5,,,,,,
691,Lake Effect Kid,6,,,,,,
692,idontwannabeyouanymore,1,,,,,,
693,Hope (feat. Philip Nolan),2,,,,,,
694,party favor,3,,,,,,
695,you should see me in a crown,3,,,,,,
696,xanny,3,,,,,,
697,Birthday Party,6,,,,,,
698,100 Bad Days,2,,,,,,
699,Don't Throw Out My Legos,2,,,,,,
700,when the party's over,3,,,,,,
701,Drama,4,,,,,,
702,18,6,,,,,,
703,Social Climb,7,,,,,,
704,bad guy,4,,,,,,
705,COPYCAT,5,,,,,,
706,Love Myself,7,,,,,,
707,Symphony (feat. Zara Larsson),5,,,,,,
708,Lush Life,5,,,,,,
709,Weak,6,,,,,,
710,Tonight Tonight,6,,,,,,
711,Let Me Down Slowly,5,,,,,,
712,Greek God,2,,,,,,
713,Can't Hold Me Down,2,,,,,,
714,Generation Why,3,,,,,,
715,The King,6,,,,,,
716,Short Change Hero,5,,,,,,
717,No New Friends,6,,,,,,
718,Chasing The Sun,7,,,,,,
719,Some Nights,6,,,,,,
720,All The Stars (with SZA),6,,,,,,
721,Don't Stop Me Now - Remastered 2011,7,,,,,,
722,bury a friend,4,,,,,,
723,When I Was Your Man,3,,,,,,
724,Millionaire (feat. Nelly) - Alan Walker Remix,2,,,,,,
725,"You Can't Stop This Motherf**ker - Choir Only Mix (from ""Deadpool 2"")",1,,,,,,
726,"Hey, Soul Sister",5,,,,,,
727,Good Old Days (feat. Kesha),3,,,,,,
728,Demons,6,,,,,,
729,Sheep (Alan Walker Relift),5,,,,,,
730,Lost Control,6,,,,,,
731,Bonfire,2,,,,,,
732,IV. Sweatpants,4,,,,,,
733,Antidote,2,,,,,,
734,Stereo Hearts (feat. Adam Levine),6,,,,,,
735,do re mi,1,,,,,,
736,iSpy (feat. Lil Yachty),4,,,,,,
737,Lily,2,,,,,,
738,Do It All for You,6,,,,,,
739,Different World (feat. CORSAK),5,,,,,,
740,Good Time,7,,,,,,
741,The Kids Aren't Alright,2,,,,,,
742,Hurt,3,,,,,,
743,Legends Never Die (Alan Walker Remix),7,,,,,,
744,Lonely (feat. ISÁK & Omar Noir),5,,,,,,
745,Strongest (Alan Walker Remix),6,,,,,,
746,Issues - Alan Walker Remix,6,,,,,,
747,Sky,0,,,,,,
748,Diamond Heart,6,,,,,,
749,Alone,2,,,,,,
750,All Falls Down (feat. Juliander),6,,,,,,
751,The Spectre,5,,,,,,
752,Faded,2,,,,,,
753,After the Afterparty (feat. Lil Yachty) - Alan Walker Remix,6,,,,,,
754,Drowning (feat. Kodak Black),5,,,,,,
755,American Boy (feat. Kanye West),4,,,,,,
756,Fade,2,,,,,,
757,Tired,6,,,,,,
758,Sing Me to Sleep,2,,,,,,
759,Stranger Things (feat. OneRepublic) - Alan Walker Remix,6,,,,,,
760,Ignite,5,,,,,,
761,Where Are Ü Now (with Justin Bieber) - Marshmello Remix,2,,,,,,
762,Happier,6,,,,,,
763,Twin Skeleton's (Hotel In NYC),5,,,,,,
764,Fourth Of July,5,,,,,,
765,Novocaine,6,,,,,,
766,Jet Pack Blues,7,,,,,,
767,Bones (feat. OneRepublic),6,,,,,,
768,The Haunting,7,,,,,,
769,Let's Hurt Tonight,6,,,,,,
770,Future Looks Good,1,,,,,,
771,Kids,6,,,,,,
772,Dream,5,,,,,,
773,Choke,5,,,,,,
774,Fingertips,1,,,,,,
775,Human,4,,,,,,
776,Lift Me Up,5,,,,,,
777,NbHD,7,,,,,,
778,Wherever I Go,7,,,,,,
779,All These Things,2,,,,,,
780,Heaven,5,,,,,,
781,Better,7,,,,,,
782,Born,5,,,,,,
783,Keep on Keeping On (feat. Brendon Urie),7,,,,,,
784,HOLD ME TIGHT OR DON’T,5,,,,,,
785,Stay Frosty Royal Milk Tea,2,,,,,,
786,The Phoenix,7,,,,,,
787,"This Ain't A Scene, It's An Arms Race",2,,,,,,
788,My Songs Know What You Did In The Dark (Light Em Up),7,,,,,,
789,Uma Thurman,7,,,,,,
790,Immortals,7,,,,,,
791,"Dance, Dance",5,,,,,,
792,Thnks fr th Mmrs,2,,,,,,
793,The Greatest Show,7,,,,,,
794,Way Up,5,,,,,,
795,Save The Day (feat. Coi Leray & LouGotCash),5,,,,,,
796,Let Go,3,,,,,,
797,Scared of the Dark (feat. XXXTENTACION),5,,,,,,
798,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",4,,,,,,
799,Home,5,,,,,,
800,Not Alone,3,,,,,,
801,Memories,5,,,,,,
802,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",7,,,,,,
803,What's Up Danger (with Black Caviar),6,,,,,,
804,Sarcasm,7,,,,,,
805,Hide (feat. Seezyn),5,,,,,,
806,Invincible,4,,,,,,
807,Sunflower - Spider-Man: Into the Spider-Verse,6,,,,,,
808,Start a Riot,4,,,,,,
809,Revolution,5,,,,,,
810,Back from the Edge,5,,,,,,
811,Burn the House Down,4,,,,,,
812,Feel It Still,5,,,,,,
813,Stole the Show,4,,,,,,
814,Time to Dance,7,,,,,,
815,Do You Know What I'm Seeing?,2,,,,,,
816,Behind the Sea,2,,,,,,
817,London Beckoned Songs About Money Written by Machines,7,,,,,,
818,Pas de Cheval,2,,,,,,
819,Sandcastles,5,,,,,,
820,Vegas Lights,7,,,,,,
821,Far Too Young to Die,5,,,,,,
822,Memories,7,,,,,,
823,Trade Mistakes,2,,,,,,
824,"Nails for Breakfast, Tacks for Snacks",6,,,,,,
825,Ready to Go (Get Me Out of My Mind),6,,,,,,
826,Always,3,,,,,,
827,When the Day Met the Night,2,,,,,,
828,Closer,6,,,,,,
829,In the Name of Love,5,,,,,,
830,Kids,6,,,,,,
831,American Beauty/American Psycho,4,,,,,,
832,"Sugar, We're Goin Down",2,,,,,,
833,Monster,2,,,,,,
834,Serial Killer,5,,,,,,
835,Lost In Japan - Remix,4,,,,,,
836,Mountains,6,,,,,,
837,The Greatest Show,7,,,,,,
838,It's Not This,5,,,,,,
839,She Had the World,2,,,,,,
840,Camisado,6,,,,,,
841,Dancing In The Dark,3,,,,,,
842,Darkside,2,,,,,,
843,Friction,3,,,,,,
844,Youngblood,4,,,,,,
845,American Idiot,2,,,,,,
846,Mad as Rabbits,2,,,,,,
847,Let's Kill Tonight,2,,,,,,
848,Psycho,7,,,,,,
849,Promises - Sonny Fodera Remix,5,,,,,,
850,Diamond Heart,6,,,,,,
851,Warriors,5,,,,,,
852,Radioactive,7,,,,,,
853,Yesterday,1,,,,,,
854,Cha-Ching (Till We Grow Older),2,,,,,,
855,Gold,1,,,,,,
856,Monster,2,,,,,,
857,"Dear Maria, Count Me In",2,,,,,,
858,Walking The Wire,2,,,,,,
859,Dancing In The Dark,3,,,,,,
860,I Don’t Know Why,6,,,,,,
861,Next To Me,6,,,,,,
862,Tear in My Heart,6,,,,,,
863,Young And Menace,2,,,,,,
864,Hurricane,7,,,,,,
865,The Last Of The Real Ones,2,,,,,,
866,Heavydirtysoul,7,,,,,,
867,Choke,6,,,,,,
868,Dressed In Black,6,,,,,,
869,Boulevard of Broken Dreams,2,,,,,,
870,Teenagers,6,,,,,,
871,Girl That You Love,2,,,,,,
872,Nearly Witches (Ever Since We Met...),2,,,,,,
873,C'mon - Single Version,6,,,,,,
874,Sarah Smiles,2,,,,,,
875,I Constantly Thank God for Esteban,2,,,,,,
876,"The Good, the Bad and the Dirty",7,,,,,,
877,The Ballad of Mona Lisa,2,,,,,,
878,Miss Jackson (feat. LOLO),6,,,,,,
879,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet",7,,,,,,
880,Northern Downpour,2,,,,,,
881,The Overpass,7,,,,,,
882,One of the Drunks,7,,,,,,
883,Casual Affair,7,,,,,,
884,Nine in the Afternoon - Single Mix,2,,,,,,
885,Hallelujah,6,,,,,,
886,House of Memories,5,,,,,,
887,This Is Gospel,2,,,,,,
888,Dying in LA,3,,,,,,
889,Wilson (Expensive Mistakes),2,,,,,,
890,But It's Better If You Do,7,,,,,,
891,"Build God, Then We'll Talk",7,,,,,,
892,Crazy = Genius,6,,,,,,
893,LA Devotee,2,,,,,,
894,Impossible Year,1,,,,,,
895,The Only Difference Between Martyrdom and Suicide Is Press Coverage,7,,,,,,
896,Girls / Girls / Boys,7,,,,,,
897,The Calendar,6,,,,,,
898,Bohemian Rhapsody,2,,,,,,
899,Golden Days,2,,,,,,
900,Nicotine,7,,,,,,
901,Emperor's New Clothes,6,,,,,,
902,Don't Threaten Me with a Good Time,2,,,,,,
903,I Write Sins Not Tragedies,2,,,,,,
904,Old Fashioned,2,,,,,,
905,King of the Clouds,1,,,,,,
906,Dancing's Not a Crime,6,,,,,,
907,Say Amen (Saturday Night),7,,,,,,
908,Roaring 20s,6,,,,,,
909,High Hopes,6,,,,,,
910,"Hey Look Ma, I Made It",6,,,,,,
911,(Fuck A) Silver Lining,5,,,,,,
912,I'm Not Famous,6,,,,,,
913,Death of a Bachelor,6,,,,,,
914,Victorious,7,,,,,,
915,Easy,4,,,,,,
916,Just Got Something,5,,,,,,
917,Burn the House Down,4,,,,,,
918,Lucid Dreams,4,,,,,,
919,Natural,6,,,,,,
920,Letting Go,4,,,,,,
921,On My Way (feat. Leah Haywood),2,,,,,,
922,Fired Up,5,,,,,,
923,Audio,5,,,,,,
924,Connection,6,,,,,,
925,Oh Child,6,,,,,,
926,Sober Up,6,,,,,,
927,Everything Black (feat. Mike Taylor),5,,,,,,
928,Rolex,6,,,,,,
929,Young Dumb & Broke,6,,,,,,
930,All My Friends (feat. Tinashe & Chance the Rapper),6,,,,,,
931,Regicide,0,,,,,,
932,Mara's Theme,0,,,,,,
933,Deep Stone Lullaby,0,,,,,,
934,Blue Diamond,1,,,,,,
935,Krigsgaldr,0,,,,,,
936,Into the Fray,0,,,,,,
937,Quid Pro Quo,1,,,,,,
938,Bushido,0,,,,,,
939,Anxiety,0,,,,,,
940,The Mad Wizard,0,,,,,,
941,An Uneasy Campfire,0,,,,,,
942,A Hero Rises,0,,,,,,
943,The Sunken City,0,,,,,,
944,Bioluminescence,3,,,,,,
945,Vile Chronometry,6,,,,,,
946,Twin Desolate Worlds,0,,,,,,
947,Among the Blighted Angels,0,,,,,,
948,Tears for a Lost Soul,0,,,,,,
949,Dirge from Dark Side,0,,,,,,
950,Godskin Apostles,0,,,,,,
951,Alpha & Omega,6,,,,,,
952,"Bel'Veth, the Empress of the Void",0,,,,,,
953,Danse Macabre,0,,,,,,
954,"Shell of What Was (From ""Destiny 2"")",0,,,,,,
955,Hunter x Hunter - Zoldyck Family Theme - Remix,0,,,,,,
956,River Fallen,0,,,,,,
957,Warbringers: Azshara,0,,,,,,
958,"Sleeping in the Cold Below (From ""Warframe"")",4,,,,,,
959,Mercy,5,,,,,,
960,États d'amour,7,,,,,,
961,J'ai cherché,6,,,,,,
962,Les rues de ma peine,2,,,,,,
963,On dirait,7,,,,,,
964,Sors de ma tête,5,,,,,,
965,Que le temps s'arrête,2,,,,,,
966,No Vacancy (feat. Amir),6,,,,,,
967,Dumbo,3,,,,,,
968,Caresse sur l'océan,3,,,,,,
969,Vois sur ton chemin,3,,,,,,
970,La Nuit,3,,,,,,
971,Sur la lune,6,,,,,,
972,Que ça dure,4,,,,,,
973,Dommage,4,,,,,,
974,Insolent 3,3,,,,,,
975,Seule Issue,5,,,,,,
976,Poker,6,,,,,,
977,Idéal paradoxal,5,,,,,,
978,Impneuratrice,5,,,,,,
