,Title,Class,,,Class,Genre,Count,Percentage
680,Candyman,4,,,,,,
681,Secrets,6,,,,,,
682,7 Years,6,,,,,,
683,Hall of Fame (feat. will.i.am),6,,,,,,
684,YOUTH,6,,,,,,
685,Airplanes (feat. Hayley Williams of Paramore),0,,,,,,
686,Closer - T-Mass Remix,6,,,,,,
687,Cold Water,0,,,,,,
688,Stitches,3,,,,,,
689,How Deep is Your Love (feat. Disciples),4,,,,,,
690,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),0,,,,,,
691,Lake Effect Kid,6,,,,,,
692,idontwannabeyouanymore,7,,,,,,
693,Hope (feat. Philip Nolan),0,,,,,,
694,party favor,5,,,,,,
695,you should see me in a crown,3,,,,,,
696,xanny,5,,,,,,
697,Birthday Party,6,,,,,,
698,100 Bad Days,3,,,,,,
699,Don't Throw Out My Legos,6,,,,,,
700,when the party's over,5,,,,,,
701,Drama,3,,,,,,
702,18,3,,,,,,
703,Social Climb,4,,,,,,
704,bad guy,3,,,,,,
705,COPYCAT,5,,,,,,
706,Love Myself,0,,,,,,
707,Symphony (feat. Zara Larsson),0,,,,,,
708,Lush Life,3,,,,,,
709,Weak,6,,,,,,
710,Tonight Tonight,3,,,,,,
711,Let Me Down Slowly,3,,,,,,
712,Greek God,0,,,,,,
713,Can't Hold Me Down,6,,,,,,
714,Generation Why,6,,,,,,
715,The King,3,,,,,,
716,Short Change Hero,0,,,,,,
717,No New Friends,3,,,,,,
718,Chasing The Sun,4,,,,,,
719,Some Nights,6,,,,,,
720,All The Stars (with SZA),6,,,,,,
721,Don't Stop Me Now - Remastered 2011,4,,,,,,
722,bury a friend,5,,,,,,
723,When I Was Your Man,5,,,,,,
724,Millionaire (feat. Nelly) - Alan Walker Remix,6,,,,,,
725,"You Can't Stop This Motherf**ker - Choir Only Mix (from ""Deadpool 2"")",7,,,,,,
726,"Hey, Soul Sister",0,,,,,,
727,Good Old Days (feat. Kesha),6,,,,,,
728,Demons,6,,,,,,
729,Sheep (Alan Walker Relift),0,,,,,,
730,Lost Control,6,,,,,,
731,Bonfire,4,,,,,,
732,IV. Sweatpants,4,,,,,,
733,Antidote,6,,,,,,
734,Stereo Hearts (feat. Adam Levine),6,,,,,,
735,do re mi,7,,,,,,
736,iSpy (feat. Lil Yachty),3,,,,,,
737,Lily,0,,,,,,
738,Do It All for You,6,,,,,,
739,Different World (feat. CORSAK),0,,,,,,
740,Good Time,3,,,,,,
741,The Kids Aren't Alright,6,,,,,,
742,Hurt,5,,,,,,
743,Legends Never Die (Alan Walker Remix),4,,,,,,
744,Lonely (feat. ISÁK & Omar Noir),0,,,,,,
745,Strongest (Alan Walker Remix),3,,,,,,
746,Issues - Alan Walker Remix,3,,,,,,
747,Sky,2,,,,,,
748,Diamond Heart,6,,,,,,
749,Alone,6,,,,,,
750,All Falls Down (feat. Juliander),6,,,,,,
751,The Spectre,0,,,,,,
752,Faded,1,,,,,,
753,After the Afterparty (feat. Lil Yachty) - Alan Walker Remix,6,,,,,,
754,Drowning (feat. Kodak Black),3,,,,,,
755,American Boy (feat. Kanye West),3,,,,,,
756,Fade,1,,,,,,
757,Tired,6,,,,,,
758,Sing Me to Sleep,1,,,,,,
759,Stranger Things (feat. OneRepublic) - Alan Walker Remix,6,,,,,,
760,Ignite,0,,,,,,
761,Where Are Ü Now (with Justin Bieber) - Marshmello Remix,1,,,,,,
762,Happier,6,,,,,,
763,Twin Skeleton's (Hotel In NYC),0,,,,,,
764,Fourth Of July,4,,,,,,
765,Novocaine,6,,,,,,
766,Jet Pack Blues,4,,,,,,
767,Bones (feat. OneRepublic),6,,,,,,
768,The Haunting,0,,,,,,
769,Let's Hurt Tonight,6,,,,,,
770,Future Looks Good,7,,,,,,
771,Kids,6,,,,,,
772,Dream,0,,,,,,
773,Choke,0,,,,,,
774,Fingertips,5,,,,,,
775,Human,0,,,,,,
776,Lift Me Up,0,,,,,,
777,NbHD,4,,,,,,
778,Wherever I Go,0,,,,,,
779,All These Things,6,,,,,,
780,Heaven,0,,,,,,
781,Better,4,,,,,,
782,Born,0,,,,,,
783,Keep on Keeping On (feat. Brendon Urie),4,,,,,,
784,HOLD ME TIGHT OR DON’T,0,,,,,,
785,Stay Frosty Royal Milk Tea,0,,,,,,
786,The Phoenix,4,,,,,,
787,"This Ain't A Scene, It's An Arms Race",1,,,,,,
788,My Songs Know What You Did In The Dark (Light Em Up),4,,,,,,
789,Uma Thurman,4,,,,,,
790,Immortals,4,,,,,,
791,"Dance, Dance",0,,,,,,
792,Thnks fr th Mmrs,1,,,,,,
793,The Greatest Show,0,,,,,,
794,Way Up,4,,,,,,
795,Save The Day (feat. Coi Leray & LouGotCash),3,,,,,,
796,Let Go,6,,,,,,
797,Scared of the Dark (feat. XXXTENTACION),0,,,,,,
798,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",4,,,,,,
799,Home,0,,,,,,
800,Not Alone,6,,,,,,
801,Memories,0,,,,,,
802,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",4,,,,,,
803,What's Up Danger (with Black Caviar),6,,,,,,
804,Sarcasm,4,,,,,,
805,Hide (feat. Seezyn),0,,,,,,
806,Invincible,3,,,,,,
807,Sunflower - Spider-Man: Into the Spider-Verse,3,,,,,,
808,Start a Riot,3,,,,,,
809,Revolution,0,,,,,,
810,Back from the Edge,0,,,,,,
811,Burn the House Down,1,,,,,,
812,Feel It Still,3,,,,,,
813,Stole the Show,3,,,,,,
814,Time to Dance,4,,,,,,
815,Do You Know What I'm Seeing?,0,,,,,,
816,Behind the Sea,6,,,,,,
817,London Beckoned Songs About Money Written by Machines,4,,,,,,
818,Pas de Cheval,6,,,,,,
819,Sandcastles,3,,,,,,
820,Vegas Lights,6,,,,,,
821,Far Too Young to Die,0,,,,,,
822,Memories,4,,,,,,
823,Trade Mistakes,1,,,,,,
824,"Nails for Breakfast, Tacks for Snacks",4,,,,,,
825,Ready to Go (Get Me Out of My Mind),6,,,,,,
826,Always,5,,,,,,
827,When the Day Met the Night,6,,,,,,
828,Closer,3,,,,,,
829,In the Name of Love,0,,,,,,
830,Kids,6,,,,,,
831,American Beauty/American Psycho,1,,,,,,
832,"Sugar, We're Goin Down",1,,,,,,
833,Monster,1,,,,,,
834,Serial Killer,0,,,,,,
835,Lost In Japan - Remix,4,,,,,,
836,Mountains,6,,,,,,
837,The Greatest Show,0,,,,,,
838,It's Not This,3,,,,,,
839,She Had the World,1,,,,,,
840,Camisado,1,,,,,,
841,Dancing In The Dark,5,,,,,,
842,Darkside,1,,,,,,
843,Friction,6,,,,,,
844,Youngblood,4,,,,,,
845,American Idiot,1,,,,,,
846,Mad as Rabbits,6,,,,,,
847,Let's Kill Tonight,1,,,,,,
848,Psycho,3,,,,,,
849,Promises - Sonny Fodera Remix,0,,,,,,
850,Diamond Heart,6,,,,,,
851,Warriors,0,,,,,,
852,Radioactive,4,,,,,,
853,Yesterday,7,,,,,,
854,Cha-Ching (Till We Grow Older),1,,,,,,
855,Gold,7,,,,,,
856,Monster,1,,,,,,
857,"Dear Maria, Count Me In",1,,,,,,
858,Walking The Wire,6,,,,,,
859,Dancing In The Dark,5,,,,,,
860,I Don’t Know Why,6,,,,,,
861,Next To Me,6,,,,,,
862,Tear in My Heart,6,,,,,,
863,Young And Menace,6,,,,,,
864,Hurricane,4,,,,,,
865,The Last Of The Real Ones,6,,,,,,
866,Heavydirtysoul,0,,,,,,
867,Choke,6,,,,,,
868,Dressed In Black,6,,,,,,
869,Boulevard of Broken Dreams,1,,,,,,
870,Teenagers,6,,,,,,
871,Girl That You Love,6,,,,,,
872,Nearly Witches (Ever Since We Met...),6,,,,,,
873,C'mon - Single Version,6,,,,,,
874,Sarah Smiles,1,,,,,,
875,I Constantly Thank God for Esteban,0,,,,,,
876,"The Good, the Bad and the Dirty",4,,,,,,
877,The Ballad of Mona Lisa,0,,,,,,
878,Miss Jackson (feat. LOLO),6,,,,,,
879,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet",4,,,,,,
880,Northern Downpour,1,,,,,,
881,The Overpass,4,,,,,,
882,One of the Drunks,4,,,,,,
883,Casual Affair,0,,,,,,
884,Nine in the Afternoon - Single Mix,1,,,,,,
885,Hallelujah,6,,,,,,
886,House of Memories,0,,,,,,
887,This Is Gospel,1,,,,,,
888,Dying in LA,5,,,,,,
889,Wilson (Expensive Mistakes),1,,,,,,
890,But It's Better If You Do,4,,,,,,
891,"Build God, Then We'll Talk",4,,,,,,
892,Crazy = Genius,6,,,,,,
893,LA Devotee,1,,,,,,
894,Impossible Year,7,,,,,,
895,The Only Difference Between Martyrdom and Suicide Is Press Coverage,4,,,,,,
896,Girls / Girls / Boys,4,,,,,,
897,The Calendar,6,,,,,,
898,Bohemian Rhapsody,6,,,,,,
899,Golden Days,6,,,,,,
900,Nicotine,0,,,,,,
901,Emperor's New Clothes,6,,,,,,
902,Don't Threaten Me with a Good Time,1,,,,,,
903,I Write Sins Not Tragedies,1,,,,,,
904,Old Fashioned,1,,,,,,
905,King of the Clouds,7,,,,,,
906,Dancing's Not a Crime,6,,,,,,
907,Say Amen (Saturday Night),4,,,,,,
908,Roaring 20s,6,,,,,,
909,High Hopes,6,,,,,,
910,"Hey Look Ma, I Made It",6,,,,,,
911,(Fuck A) Silver Lining,0,,,,,,
912,I'm Not Famous,6,,,,,,
913,Death of a Bachelor,6,,,,,,
914,Victorious,6,,,,,,
915,Easy,3,,,,,,
916,Just Got Something,0,,,,,,
917,Burn the House Down,1,,,,,,
918,Lucid Dreams,0,,,,,,
919,Natural,6,,,,,,
920,Letting Go,3,,,,,,
921,On My Way (feat. Leah Haywood),6,,,,,,
922,Fired Up,0,,,,,,
923,Audio,0,,,,,,
924,Connection,3,,,,,,
925,Oh Child,3,,,,,,
926,Sober Up,3,,,,,,
927,Everything Black (feat. Mike Taylor),0,,,,,,
928,Rolex,3,,,,,,
929,Young Dumb & Broke,6,,,,,,
930,All My Friends (feat. Tinashe & Chance the Rapper),6,,,,,,
931,Regicide,2,,,,,,
932,Mara's Theme,5,,,,,,
933,Deep Stone Lullaby,5,,,,,,
934,Blue Diamond,7,,,,,,
935,Krigsgaldr,2,,,,,,
936,Into the Fray,2,,,,,,
937,Quid Pro Quo,5,,,,,,
938,Bushido,5,,,,,,
939,Anxiety,5,,,,,,
940,The Mad Wizard,2,,,,,,
941,An Uneasy Campfire,5,,,,,,
942,A Hero Rises,2,,,,,,
943,The Sunken City,5,,,,,,
944,Bioluminescence,5,,,,,,
945,Vile Chronometry,6,,,,,,
946,Twin Desolate Worlds,2,,,,,,
947,Among the Blighted Angels,2,,,,,,
948,Tears for a Lost Soul,5,,,,,,
949,Dirge from Dark Side,5,,,,,,
950,Godskin Apostles,2,,,,,,
951,Alpha & Omega,1,,,,,,
952,"Bel'Veth, the Empress of the Void",2,,,,,,
953,Danse Macabre,2,,,,,,
954,"Shell of What Was (From ""Destiny 2"")",4,,,,,,
955,Hunter x Hunter - Zoldyck Family Theme - Remix,2,,,,,,
956,River Fallen,2,,,,,,
957,Warbringers: Azshara,5,,,,,,
958,"Sleeping in the Cold Below (From ""Warframe"")",3,,,,,,
959,Mercy,0,,,,,,
960,États d'amour,4,,,,,,
961,J'ai cherché,6,,,,,,
962,Les rues de ma peine,1,,,,,,
963,On dirait,4,,,,,,
964,Sors de ma tête,0,,,,,,
965,Que le temps s'arrête,1,,,,,,
966,No Vacancy (feat. Amir),6,,,,,,
967,Dumbo,3,,,,,,
968,Caresse sur l'océan,5,,,,,,
969,Vois sur ton chemin,5,,,,,,
970,La Nuit,5,,,,,,
971,Sur la lune,6,,,,,,
972,Que ça dure,3,,,,,,
973,Dommage,3,,,,,,
974,Insolent 3,3,,,,,,
975,Seule Issue,3,,,,,,
976,Poker,6,,,,,,
977,Idéal paradoxal,0,,,,,,
978,Impneuratrice,4,,,,,,
