,Title,Class,,,Classes,Genre,Count,Percentage
679,Hide Away,4,,,,,,
680,Candyman,1,,,,,,
681,Secrets,3,,,,,,
682,7 Years,2,,,,,,
683,Hall of Fame (feat. will.i.am),2,,,,,,
684,YOUTH,2,,,,,,
685,Airplanes (feat. Hayley Williams of Paramore),1,,,,,,
686,Closer - T-Mass Remix,2,,,,,,
687,Cold Water,1,,,,,,
688,Stitches,3,,,,,,
689,How Deep is Your Love (feat. Disciples),4,,,,,,
690,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),1,,,,,,
691,Lake Effect Kid,2,,,,,,
692,idontwannabeyouanymore,0,,,,,,
693,Hope (feat. Philip Nolan),1,,,,,,
694,party favor,0,,,,,,
695,you should see me in a crown,0,,,,,,
696,xanny,0,,,,,,
697,Birthday Party,3,,,,,,
698,100 Bad Days,2,,,,,,
699,Don't Throw Out My Legos,3,,,,,,
700,when the party's over,0,,,,,,
701,Drama,3,,,,,,
702,18,2,,,,,,
703,Social Climb,4,,,,,,
704,bad guy,2,,,,,,
705,COPYCAT,1,,,,,,
706,Love Myself,1,,,,,,
707,Symphony (feat. Zara Larsson),1,,,,,,
708,Lush Life,4,,,,,,
709,Weak,2,,,,,,
710,Tonight Tonight,3,,,,,,
711,Let Me Down Slowly,1,,,,,,
712,Greek God,1,,,,,,
713,Can't Hold Me Down,2,,,,,,
714,Generation Why,2,,,,,,
715,The King,3,,,,,,
716,Short Change Hero,1,,,,,,
717,No New Friends,2,,,,,,
718,Chasing The Sun,1,,,,,,
719,Some Nights,3,,,,,,
720,All The Stars (with SZA),2,,,,,,
721,Don't Stop Me Now - Remastered 2011,2,,,,,,
722,bury a friend,0,,,,,,
723,When I Was Your Man,0,,,,,,
724,Millionaire (feat. Nelly) - Alan Walker Remix,2,,,,,,
725,"You Can't Stop This Motherf**ker - Choir Only Mix (from ""Deadpool 2"")",0,,,,,,
726,"Hey, Soul Sister",1,,,,,,
727,Good Old Days (feat. Kesha),0,,,,,,
728,Demons,3,,,,,,
729,Sheep (Alan Walker Relift),1,,,,,,
730,Lost Control,2,,,,,,
731,Bonfire,2,,,,,,
732,IV. Sweatpants,3,,,,,,
733,Antidote,3,,,,,,
734,Stereo Hearts (feat. Adam Levine),2,,,,,,
735,do re mi,2,,,,,,
736,iSpy (feat. Lil Yachty),0,,,,,,
737,Lily,1,,,,,,
738,Do It All for You,3,,,,,,
739,Different World (feat. CORSAK),1,,,,,,
740,Good Time,2,,,,,,
741,The Kids Aren't Alright,2,,,,,,
742,Hurt,6,,,,,,
743,Legends Never Die (Alan Walker Remix),4,,,,,,
744,Lonely (feat. ISÁK & Omar Noir),1,,,,,,
745,Strongest (Alan Walker Remix),3,,,,,,
746,Issues - Alan Walker Remix,2,,,,,,
747,Sky,5,,,,,,
748,Diamond Heart,3,,,,,,
749,Alone,2,,,,,,
750,All Falls Down (feat. Juliander),3,,,,,,
751,The Spectre,1,,,,,,
752,Faded,2,,,,,,
753,After the Afterparty (feat. Lil Yachty) - Alan Walker Remix,2,,,,,,
754,Drowning (feat. Kodak Black),1,,,,,,
755,American Boy (feat. Kanye West),3,,,,,,
756,Fade,2,,,,,,
757,Tired,2,,,,,,
758,Sing Me to Sleep,1,,,,,,
759,Stranger Things (feat. OneRepublic) - Alan Walker Remix,3,,,,,,
760,Ignite,4,,,,,,
761,Where Are Ü Now (with Justin Bieber) - Marshmello Remix,2,,,,,,
762,Happier,2,,,,,,
763,Twin Skeleton's (Hotel In NYC),1,,,,,,
764,Fourth Of July,1,,,,,,
765,Novocaine,3,,,,,,
766,Jet Pack Blues,1,,,,,,
767,Bones (feat. OneRepublic),3,,,,,,
768,The Haunting,4,,,,,,
769,Let's Hurt Tonight,2,,,,,,
770,Future Looks Good,2,,,,,,
771,Kids,3,,,,,,
772,Dream,4,,,,,,
773,Choke,1,,,,,,
774,Fingertips,6,,,,,,
775,Human,1,,,,,,
776,Lift Me Up,1,,,,,,
777,NbHD,1,,,,,,
778,Wherever I Go,4,,,,,,
779,All These Things,2,,,,,,
780,Heaven,4,,,,,,
781,Better,2,,,,,,
782,Born,1,,,,,,
783,Keep on Keeping On (feat. Brendon Urie),1,,,,,,
784,HOLD ME TIGHT OR DON’T,1,,,,,,
785,Stay Frosty Royal Milk Tea,1,,,,,,
786,The Phoenix,1,,,,,,
787,"This Ain't A Scene, It's An Arms Race",2,,,,,,
788,My Songs Know What You Did In The Dark (Light Em Up),4,,,,,,
789,Uma Thurman,1,,,,,,
790,Immortals,3,,,,,,
791,"Dance, Dance",4,,,,,,
792,Thnks fr th Mmrs,4,,,,,,
793,The Greatest Show,4,,,,,,
794,Way Up,4,,,,,,
795,Save The Day (feat. Coi Leray & LouGotCash),1,,,,,,
796,Let Go,0,,,,,,
797,Scared of the Dark (feat. XXXTENTACION),1,,,,,,
798,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",1,,,,,,
799,Home,4,,,,,,
800,Not Alone,2,,,,,,
801,Memories,1,,,,,,
802,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",4,,,,,,
803,What's Up Danger (with Black Caviar),3,,,,,,
804,Sarcasm,1,,,,,,
805,Hide (feat. Seezyn),1,,,,,,
806,Invincible,4,,,,,,
807,Sunflower - Spider-Man: Into the Spider-Verse,0,,,,,,
808,Start a Riot,3,,,,,,
809,Revolution,4,,,,,,
810,Back from the Edge,1,,,,,,
811,Burn the House Down,3,,,,,,
812,Feel It Still,1,,,,,,
813,Stole the Show,4,,,,,,
814,Time to Dance,4,,,,,,
815,Do You Know What I'm Seeing?,4,,,,,,
816,Behind the Sea,2,,,,,,
817,London Beckoned Songs About Money Written by Machines,1,,,,,,
818,Pas de Cheval,2,,,,,,
819,Sandcastles,4,,,,,,
820,Vegas Lights,2,,,,,,
821,Far Too Young to Die,1,,,,,,
822,Memories,1,,,,,,
823,Trade Mistakes,2,,,,,,
824,"Nails for Breakfast, Tacks for Snacks",2,,,,,,
825,Ready to Go (Get Me Out of My Mind),3,,,,,,
826,Always,0,,,,,,
827,When the Day Met the Night,2,,,,,,
828,Closer,0,,,,,,
829,In the Name of Love,1,,,,,,
830,Kids,3,,,,,,
831,American Beauty/American Psycho,3,,,,,,
832,"Sugar, We're Goin Down",2,,,,,,
833,Monster,3,,,,,,
834,Serial Killer,1,,,,,,
835,Lost In Japan - Remix,2,,,,,,
836,Mountains,3,,,,,,
837,The Greatest Show,4,,,,,,
838,It's Not This,1,,,,,,
839,She Had the World,2,,,,,,
840,Camisado,3,,,,,,
841,Dancing In The Dark,0,,,,,,
842,Darkside,1,,,,,,
843,Friction,2,,,,,,
844,Youngblood,4,,,,,,
845,American Idiot,3,,,,,,
846,Mad as Rabbits,2,,,,,,
847,Let's Kill Tonight,1,,,,,,
848,Psycho,2,,,,,,
849,Promises - Sonny Fodera Remix,1,,,,,,
850,Diamond Heart,3,,,,,,
851,Warriors,1,,,,,,
852,Radioactive,4,,,,,,
853,Yesterday,2,,,,,,
854,Cha-Ching (Till We Grow Older),2,,,,,,
855,Gold,4,,,,,,
856,Monster,3,,,,,,
857,"Dear Maria, Count Me In",3,,,,,,
858,Walking The Wire,2,,,,,,
859,Dancing In The Dark,0,,,,,,
860,I Don’t Know Why,3,,,,,,
861,Next To Me,3,,,,,,
862,Tear in My Heart,3,,,,,,
863,Young And Menace,2,,,,,,
864,Hurricane,4,,,,,,
865,The Last Of The Real Ones,2,,,,,,
866,Heavydirtysoul,4,,,,,,
867,Choke,3,,,,,,
868,Dressed In Black,3,,,,,,
869,Boulevard of Broken Dreams,0,,,,,,
870,Teenagers,3,,,,,,
871,Girl That You Love,2,,,,,,
872,Nearly Witches (Ever Since We Met...),2,,,,,,
873,C'mon - Single Version,3,,,,,,
874,Sarah Smiles,3,,,,,,
875,I Constantly Thank God for Esteban,1,,,,,,
876,"The Good, the Bad and the Dirty",4,,,,,,
877,The Ballad of Mona Lisa,4,,,,,,
878,Miss Jackson (feat. LOLO),3,,,,,,
879,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet",1,,,,,,
880,Northern Downpour,2,,,,,,
881,The Overpass,4,,,,,,
882,One of the Drunks,4,,,,,,
883,Casual Affair,1,,,,,,
884,Nine in the Afternoon - Single Mix,2,,,,,,
885,Hallelujah,2,,,,,,
886,House of Memories,4,,,,,,
887,This Is Gospel,2,,,,,,
888,Dying in LA,0,,,,,,
889,Wilson (Expensive Mistakes),2,,,,,,
890,But It's Better If You Do,4,,,,,,
891,"Build God, Then We'll Talk",4,,,,,,
892,Crazy = Genius,3,,,,,,
893,LA Devotee,2,,,,,,
894,Impossible Year,2,,,,,,
895,The Only Difference Between Martyrdom and Suicide Is Press Coverage,1,,,,,,
896,Girls / Girls / Boys,4,,,,,,
897,The Calendar,3,,,,,,
898,Bohemian Rhapsody,2,,,,,,
899,Golden Days,2,,,,,,
900,Nicotine,1,,,,,,
901,Emperor's New Clothes,3,,,,,,
902,Don't Threaten Me with a Good Time,1,,,,,,
903,I Write Sins Not Tragedies,4,,,,,,
904,Old Fashioned,1,,,,,,
905,King of the Clouds,1,,,,,,
906,Dancing's Not a Crime,2,,,,,,
907,Say Amen (Saturday Night),1,,,,,,
908,Roaring 20s,3,,,,,,
909,High Hopes,2,,,,,,
910,"Hey Look Ma, I Made It",2,,,,,,
911,(Fuck A) Silver Lining,1,,,,,,
912,I'm Not Famous,2,,,,,,
913,Death of a Bachelor,3,,,,,,
914,Victorious,2,,,,,,
915,Easy,3,,,,,,
916,Just Got Something,1,,,,,,
917,Burn the House Down,3,,,,,,
918,Lucid Dreams,1,,,,,,
919,Natural,3,,,,,,
920,Letting Go,3,,,,,,
921,On My Way (feat. Leah Haywood),2,,,,,,
922,Fired Up,4,,,,,,
923,Audio,1,,,,,,
924,Connection,2,,,,,,
925,Oh Child,2,,,,,,
926,Sober Up,0,,,,,,
927,Everything Black (feat. Mike Taylor),1,,,,,,
928,Rolex,3,,,,,,
929,Young Dumb & Broke,3,,,,,,
930,All My Friends (feat. Tinashe & Chance the Rapper),3,,,,,,
931,Regicide,0,,,,,,
932,Mara's Theme,5,,,,,,
933,Deep Stone Lullaby,0,,,,,,
934,Blue Diamond,0,,,,,,
935,Krigsgaldr,0,,,,,,
936,Into the Fray,5,,,,,,
937,Quid Pro Quo,6,,,,,,
938,Bushido,5,,,,,,
939,Anxiety,0,,,,,,
940,The Mad Wizard,5,,,,,,
941,An Uneasy Campfire,5,,,,,,
942,A Hero Rises,5,,,,,,
943,The Sunken City,0,,,,,,
944,Bioluminescence,0,,,,,,
945,Vile Chronometry,3,,,,,,
946,Twin Desolate Worlds,0,,,,,,
947,Among the Blighted Angels,5,,,,,,
948,Tears for a Lost Soul,5,,,,,,
949,Dirge from Dark Side,5,,,,,,
950,Godskin Apostles,5,,,,,,
951,Alpha & Omega,3,,,,,,
952,"Bel'Veth, the Empress of the Void",0,,,,,,
953,Danse Macabre,5,,,,,,
954,"Shell of What Was (From ""Destiny 2"")",5,,,,,,
955,Hunter x Hunter - Zoldyck Family Theme - Remix,5,,,,,,
956,River Fallen,5,,,,,,
957,Warbringers: Azshara,0,,,,,,
958,"Sleeping in the Cold Below (From ""Warframe"")",4,,,,,,
959,Mercy,1,,,,,,
960,États d'amour,2,,,,,,
961,J'ai cherché,3,,,,,,
962,Les rues de ma peine,2,,,,,,
963,On dirait,3,,,,,,
964,Sors de ma tête,4,,,,,,
965,Que le temps s'arrête,1,,,,,,
966,No Vacancy (feat. Amir),2,,,,,,
967,Dumbo,0,,,,,,
968,Caresse sur l'océan,0,,,,,,
969,Vois sur ton chemin,6,,,,,,
970,La Nuit,0,,,,,,
971,Sur la lune,2,,,,,,
972,Que ça dure,4,,,,,,
973,Dommage,4,,,,,,
974,Insolent 3,2,,,,,,
975,Seule Issue,1,,,,,,
976,Poker,3,,,,,,
977,Idéal paradoxal,1,,,,,,
978,Impneuratrice,1,,,,,,
