,Title,Class
855,Gold,7.0
856,Monster,1.0
857,"Dear Maria, Count Me In",1.0
858,Walking The Wire,6.0
859,Dancing In The Dark,5.0
860,I Don’t Know Why,6.0
861,Next To Me,6.0
862,Tear in My Heart,6.0
863,Young And Menace,6.0
864,Hurricane,4.0
865,The Last Of The Real Ones,6.0
866,Heavydirtysoul,0.0
867,Choke,6.0
868,Dressed In Black,6.0
869,Boulevard of Broken Dreams,1.0
870,Teenagers,6.0
871,Girl That You Love,6.0
872,Nearly Witches (Ever Since We Met...),6.0
873,C'mon - Single Version,6.0
874,Sarah Smiles,1.0
875,I Constantly Thank God for Esteban,0.0
876,"The Good, the Bad and the Dirty",4.0
877,The Ballad of Mona Lisa,0.0
878,Miss Jackson (feat. LOLO),6.0
879,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet",4.0
880,Northern Downpour,1.0
881,The Overpass,4.0
882,One of the Drunks,4.0
883,Casual Affair,0.0
884,Nine in the Afternoon - Single Mix,1.0
885,Hallelujah,6.0
886,House of Memories,0.0
887,This Is Gospel,1.0
888,Dying in LA,5.0
889,Wilson (Expensive Mistakes),1.0
890,But It's Better If You Do,4.0
891,"Build God, Then We'll Talk",4.0
892,Crazy = Genius,6.0
893,LA Devotee,1.0
894,Impossible Year,7.0
895,The Only Difference Between Martyrdom and Suicide Is Press Coverage,4.0
896,Girls / Girls / Boys,4.0
897,The Calendar,6.0
898,Bohemian Rhapsody,6.0
899,Golden Days,6.0
900,Nicotine,0.0
901,Emperor's New Clothes,6.0
902,Don't Threaten Me with a Good Time,1.0
903,I Write Sins Not Tragedies,1.0
904,Old Fashioned,1.0
905,King of the Clouds,7.0
906,Dancing's Not a Crime,6.0
907,Say Amen (Saturday Night),4.0
908,Roaring 20s,6.0
909,High Hopes,6.0
910,"Hey Look Ma, I Made It",6.0
911,(Fuck A) Silver Lining,0.0
912,I'm Not Famous,6.0
913,Death of a Bachelor,6.0
914,Victorious,6.0
915,Easy,3.0
916,Just Got Something,0.0
917,Burn the House Down,1.0
918,Lucid Dreams,0.0
919,Natural,6.0
920,Letting Go,3.0
921,On My Way (feat. Leah Haywood),6.0
922,Fired Up,0.0
923,Audio,0.0
924,Connection,3.0
925,Oh Child,3.0
926,Sober Up,3.0
927,Everything Black (feat. Mike Taylor),0.0
928,Rolex,3.0
929,Young Dumb & Broke,6.0
930,All My Friends (feat. Tinashe & Chance the Rapper),6.0
931,Regicide,2.0
932,Mara's Theme,5.0
933,Deep Stone Lullaby,5.0
934,Blue Diamond,7.0
935,Krigsgaldr,2.0
936,Into the Fray,2.0
937,Quid Pro Quo,5.0
938,Bushido,5.0
939,Anxiety,5.0
940,The Mad Wizard,2.0
941,An Uneasy Campfire,5.0
942,A Hero Rises,2.0
943,The Sunken City,5.0
944,Bioluminescence,5.0
945,Vile Chronometry,6.0
946,Twin Desolate Worlds,2.0
947,Among the Blighted Angels,2.0
948,Tears for a Lost Soul,5.0
949,Dirge from Dark Side,5.0
950,Godskin Apostles,2.0
951,Alpha & Omega,1.0
952,"Bel'Veth, the Empress of the Void",2.0
953,Danse Macabre,2.0
954,"Shell of What Was (From ""Destiny 2"")",4.0
955,Hunter x Hunter - Zoldyck Family Theme - Remix,2.0
956,River Fallen,2.0
957,Warbringers: Azshara,5.0
958,"Sleeping in the Cold Below (From ""Warframe"")",3.0
959,Mercy,0.0
960,États d'amour,4.0
961,J'ai cherché,6.0
962,Les rues de ma peine,1.0
963,On dirait,4.0
964,Sors de ma tête,0.0
965,Que le temps s'arrête,1.0
966,No Vacancy (feat. Amir),6.0
967,Dumbo,3.0
968,Caresse sur l'océan,5.0
969,Vois sur ton chemin,5.0
970,La Nuit,5.0
971,Sur la lune,6.0
972,Que ça dure,3.0
973,Dommage,3.0
974,Insolent 3,3.0
975,Seule Issue,3.0
976,Poker,6.0
977,Idéal paradoxal,0.0
978,Impneuratrice,4.0
